"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
#2025-12-05#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-06#,"土",,,,,,,,,,,,,,
#2025-12-07#,"日",,,,,,,,,,,,,,
#2025-12-08#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2025-12-09#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-10#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2025-12-11#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2025-12-12#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-13#,"土",,,,,,,,,,,,,,
#2025-12-14#,"日",,,,,,,,,,,,,,
#2025-12-15#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2025-12-16#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-17#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2025-12-18#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2025-12-19#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-20#,"土",,,,,,,,,,,,,,
#2025-12-21#,"日",,,,,,,,,,,,,,
#2025-12-22#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2025-12-23#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-24#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2025-12-25#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2025-12-26#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-27#,"土",,,,,,,,,,,,,,
#2025-12-28#,"日",,,,,,,,,,,,,,
#2025-12-29#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,
#2025-12-30#,"火","リプラ","リプラ","リプラ",,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2025-12-31#,"水",,,,,,,,,,,,,,
#2026-01-01#,"木",,,,,,,,,,,,,,
#2026-01-02#,"金",,,,,,,,,,,,,,
#2026-01-03#,"土",,,,,,,,,,,,,,
#2026-01-04#,"日",,,,,,,,,,,,,,
#2026-01-05#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2026-01-06#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-07#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2026-01-08#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2026-01-09#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-10#,"土",,,,,,,,,,,,,,
#2026-01-11#,"日",,,,,,,,,,,,,,
#2026-01-12#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2026-01-13#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-14#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2026-01-15#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2026-01-16#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-17#,"土",,,,,,,,,,,,,,
#2026-01-18#,"日",,,,,,,,,,,,,,
#2026-01-19#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2026-01-20#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-21#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2026-01-22#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2026-01-23#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-24#,"土",,,,,,,,,,,,,,
#2026-01-25#,"日",,,,,,,,,,,,,,
#2026-01-26#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2026-01-27#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-28#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2026-01-29#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2026-01-30#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-01-31#,"土",,,,,,,,,,,,,,
#2026-02-01#,"日",,,,,,,,,,,,,,
#2026-02-02#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2026-02-03#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-04#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2026-02-05#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2026-02-06#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-07#,"土",,,,,,,,,,,,,,
#2026-02-08#,"日",,,,,,,,,,,,,,
#2026-02-09#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2026-02-10#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-11#,"水","資源",,"不燃",,,,,,,,,,"他プラ","資源"
#2026-02-12#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2026-02-13#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-14#,"土",,,,,,,,,,,,,,
#2026-02-15#,"日",,,,,,,,,,,,,,
#2026-02-16#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2026-02-17#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-18#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2026-02-19#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2026-02-20#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-21#,"土",,,,,,,,,,,,,,
#2026-02-22#,"日",,,,,,,,,,,,,,
#2026-02-23#,"月",,,,,,,,"他プラ","資源","不燃",,"資源","不燃",
#2026-02-24#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-25#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2026-02-26#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2026-02-27#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-02-28#,"土",,,,,,,,,,,,,,
#2026-03-01#,"日",,,,,,,,,,,,,,
#2026-03-02#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2026-03-03#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-04#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2026-03-05#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2026-03-06#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-07#,"土",,,,,,,,,,,,,,
#2026-03-08#,"日",,,,,,,,,,,,,,
#2026-03-09#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2026-03-10#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-11#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2026-03-12#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2026-03-13#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-14#,"土",,,,,,,,,,,,,,
#2026-03-15#,"日",,,,,,,,,,,,,,
#2026-03-16#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ",,"不燃","他プラ",,"不燃"
#2026-03-17#,"火","リプラ","リプラ","リプラ","資源",,"不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-18#,"水","他プラ","不燃",,"リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ"
#2026-03-19#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"他プラ","資源",,"リプラ","リプラ"
#2026-03-20#,"金","不燃","他プラ","他プラ","不燃","資源","資源",,,,,,,,
#2026-03-21#,"土",,,,,,,,,,,,,,
#2026-03-22#,"日",,,,,,,,,,,,,,
#2026-03-23#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","不燃",,"資源","不燃",
#2026-03-24#,"火","リプラ","リプラ","リプラ","他プラ","不燃",,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-25#,"水","資源",,"不燃","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源"
#2026-03-26#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","資源","他プラ","不燃","リプラ","リプラ"
#2026-03-27#,"金",,"資源","資源",,"他プラ","他プラ","不燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2026-03-28#,"土",,,,,,,,,,,,,,
#2026-03-29#,"日",,,,,,,,,,,,,,
#2026-03-30#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,
#2026-03-31#,"火","リプラ","リプラ","リプラ",,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃"
