年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2016/7/29,金,,,,,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/7/30,土,,,,,,,,,,,,,,,,
2016/7/31,日,,,,,,,,,,,,,,,,
2016/8/1,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2016/8/2,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/8/3,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2016/8/4,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2016/8/5,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/8/6,土,,,,,,,,,,,,,,,,
2016/8/7,日,,,,,,,,,,,,,,,,
2016/8/8,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,,,不燃,資源,資源,他プラ
2016/8/9,火,リプラ,リプラ,,不燃,資源,資源,他プラ,他プラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/8/10,水,資源,資源,リプラ,リプラ,,,,,他プラ,他プラ,リプラ,リプラ,リプラ,不燃,不燃,不燃
2016/8/11,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,,不燃,他プラ,他プラ,資源,リプラ,リプラ,リプラ
2016/8/12,金,不燃,,他プラ,資源,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/8/13,土,,,,,,,,,,,,,,,,
2016/8/14,日,,,,,,,,,,,,,,,,
2016/8/15,月,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,リプラ,リプラ,不燃,不燃,,他プラ,他プラ,資源
2016/8/16,火,リプラ,リプラ,不燃,,他プラ,他プラ,資源,資源,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/8/17,水,他プラ,他プラ,リプラ,リプラ,不燃,不燃,不燃,不燃,資源,資源,リプラ,リプラ,リプラ,,,
2016/8/18,木,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃,不燃,,資源,資源,他プラ,リプラ,リプラ,リプラ
2016/8/19,金,,不燃,資源,他プラ,リプラ,リプラ,リプラ,リプラ,可燃,可燃,可燃,可燃,可燃,可燃,可燃,可燃
2016/8/20,土,,,,,,,,,,,,,,,,
2016/8/21,日,,,,,,,,,,,,,,,,
